NOUN,VERB,ADV,ADJ,CCONJ,EX_M,Q_M,POS,NEG,BOOL_NOUN,BOOL_VERB,BOOL_ADV,BOOL_ADJ,BOOL_CCONJ,LABEL,TEXT,AI
9,4,4,2,2,1,3,1,0,1,1,1,1,1,colère," salut Polopopo Comme je n' ai pas eu de réponse à mon sms , je retente par mail ... Est -ce que nous nous voyons lundi pour le premier cours ? ou un autre jour ? ou par webcam ? Si tu n' es plus disposée à donner des cours , merci de me dire !",0
8,7,4,1,0,0,0,4,2,1,1,1,1,0,surprise_neg," Bonsoir Polopopo , Comme je n' ai pas reçu de nouvelles depuis plusieurs jours , je me permets d' envoyer un mail . Je commence un peu à m' inquiéter de ne pas avoir de retour de votre part . J' espère que tout se passe comme prévu . Je te souhaite une bonne fin de journée , Cordialement ,",0
9,2,1,1,0,0,0,2,2,1,1,1,1,0,neutre," Bonjour , Je t' accueillerai le lundi 03 /06 à partir de 9h 30 . A ton arrivée , demande à l' hôtesse de me prévenir . je te ferai faire les démarches nécessaire pour avoir ton badge d' accès . Ton bureau est le 5D02 . à le plaisir de te voir bientôt . Cdt.",0
29,12,15,4,0,0,0,2,0,1,1,1,1,0,neutre," Bonsoir , La réunion de pré-rentrée aura lieu le 14 septembre en matinée , nous procédons actuellement à les réservations de salle avant d' envoyer les invitations officielles . La rentrée aura lieu le lundi suivant ( voir calendrier d' alternance joint ) . Pour la connexion à l' Polopopo , il faut utiliser les codes donnés lors de votre inscription administrative , si vous ne les avez pas reçus il faut contacter la scolarité directement , je n' ai pas la main dessus . Je suis navrée aussi pour la bibliographie , les informations n' ont pas dû être remontées à temps pour un envoi avant les congés d' été . Les informations seront dans la brochure qui sera délivrée à la réunion de rentrée à le plus tard . Bien cordialement ,",0
10,8,4,1,2,1,1,5,1,1,1,1,1,1,joie," Bonjour Polopopo , Je voulais te remercier pour ton aide pour le tutorat . Grace à cette aide et à mon travail , j' ai réussis à passer les rattrapages , et je passe en 3ème année ! Je ne sais pas si j' y serais parvenu sans ça . J' en profite pour te demander : est -ce que tu sais si il y ' a un service de tutorat aussi tout à le long de l' année ? Cordialement ,",0
30,25,13,13,6,1,0,20,4,1,1,1,1,1,joie," Bonjour Polopopo , Je suis très heureux pour vous que votre projet ait été accepté , avec la directrice que vous aviez choisie . C' est une très bonne nouvelle : vous devez être soulagée et impatiente de commencer . La définition de le corpus sera une étape importante , mais je suis certain que vous saurez défendre vos idées et profiter des suggestions de ma collègue . Ne vous en veuillez pas d' avoir envoyé votre projet avant d' avoir reçu ma réponse . J' ai tardé à vous répondre et puisque le résultat est celui que vous espériez , vous avez bien fait . Je vois que vous avez eu la lucidité d' apporter certaines de les améliorations que je vous suggérais et que les remarques formelles que j' ai indiquées à la fin vous serviront . Je n' ai pas travaillé pour rien , rassurez -vous . Les corrections que vous avez apportées me semblent aller dans le bon sens . C' est ainsi que vous travaillerez tout à le long de votre mémoire , donc c' est de très bon augure . Ma rencontre avec Polopopo Polopopo à le moment où vous m' écriviez relève de ce que Polopopo appelait les "" pétrifiantes coïncidences "" : nous sommes donc bien en plein surréalisme ! Bon courage pour finir le semestre l' esprit léger et bon été quand il arrivera .",0
21,7,8,6,3,0,0,9,1,1,1,1,1,1,joie," Chers amis , J' ai la joie de vous annoncer la parution toute récente de mon roman Polopopo . Pour en savoir plus , rendez -vous sur le site de la maison d’ édition ( lien ci-dessous ) , où vous pourrez aussi commander l’ ouvrage , comme de le reste auprès de la ou de le libraire de votre choix . Celles et ceux qui seront à Polopopo le week-end prochain sont cordialement invités à visiter le Salon de l’ autre Livre , à la Polopopo de les Polopopo . J’ y serai moi-même le dimanche 28 de 11h à 12 h 30 , et j' aurais grand plaisir à vous y retrouver . En attendant de vos nouvelles , je retourne à mes diverses occupations de retraité . Bien amicalement ,",0
8,2,3,3,2,1,0,7,2,1,1,1,1,1,joie," Bonjour Monsieur , C' est une très bonne nouvelle , merci à vous pour votre confiance ! Je suis évidemment intéressée par la proposition , et suis impatiente de connaître les jours et horaires de le contrat . Je vous souhaite une très bonne soirée ,",0
16,10,8,5,3,1,0,10,2,1,1,1,1,1,joie," Chère Polopopo , Merci pour cette explication , qui m' a fait bien rire à mon tour . Je t' entends encore dire : "" c' est lui mais en même temps , ce n' est pas lui . "" Tu avais vu juste ! Le pauvre , il a dû se sentir bien observé ... Passer ce temps en votre compagnie a été un réel plaisir , tout comme vous avoir comptés parmi mes élèves . Je serais ravi d' être de cette soirée dont tu parles , en espérant ( mais c' est peu probable ) qu' elle ait lieu à un moment où je suis dans les parages : à partir de lundi et jusqu' à le 2 juillet , je serai à Polopopo pour faire passer les oraux de l' agrégation . Bien à toi ,",0
12,7,7,2,1,0,0,5,0,1,1,1,1,1,surprise_neg," Bonjour , Vous trouverez en pièce jointe la version corrigée de ma convention à le regard de votre réponse , ainsi que mon attestation de Responsabilité Civile . Je viens de relancer mon employeur , mais je ne suis pas sûre qu' il acceptera de signer avant l' Université ... Si c' est le cas , je ne sais pas comment débloquer la situation . Je vous remercie pour votre aide , Bien cordialement ,",0
9,5,7,2,0,0,0,2,2,1,1,1,1,0,surprise_neg," Bonjour M. Polopopo , Il est étrange en effet , que les images que vous aviez envoyées apparaissent en Polopopo de mon propre mail , je n' avais pas remarqué cela à le moment de l' envoi . Toutefois , chez moi , la fiche en pdf figure tout de même dans les Polopopo . Dans le doute , je vous la renvoie . Bien cordialement ,",0
3,2,7,4,1,0,0,5,2,1,1,1,1,1,surprise_neg," ptdrrr je me rends compte que j' ai vraiment quasiment pas écrit je suis désolée : ( ( son cours c' était surtout une énorme biblio et c' est super dur de se repérer dedans , enfin bon ..",0
15,5,2,5,1,0,0,3,3,1,1,1,1,1,neutre," Bonjour , Je tenais à vous informer que mon cabinet va déménager à l’ adresse suivante : 17 rue Polopopo de Polopopo 75017 à le Polopopo avec quelques marches d' accès . Ce changement d’ adresse est définitif et sera effectif à partir de le 30/09/2024 . Veuillez noter le nouveau numéro pour joindre le secrétariat 01 89 86 93 65 à partir de le 01/10/2024 ; un biseau sera assuré avec l' ancien numéro encore quelques semaines . Pour plus d' informations , veuillez consulter mon profil Polopopo . Cordialement , Dr Polopopo",0
4,2,2,1,1,1,0,3,0,1,1,1,1,1,joie," Bonjour ! Je vous suis très , très reconnaissante de votre réponse à ma lettre de 11 /04 / 22 . Je suis en hâte de vous revoir et j' espère qu' on aura plusieurs idées à proposer . Bien à vous , Polopopo",0
27,8,9,4,2,0,0,8,3,1,1,1,1,1,tristesse," Bonjour Madame , Désolé pour le délai de réponse , la rentrée / retour de vacances est une période assez chargée ... Malheureusement , nous ne pourrons pas vous prendre en alternance à cette rentrée . En effet , nous avons atteint le seuil légal d’ alternants pour une structure de notre taille ( limite dont nous ignorions l’ existence à l’ origine ) . Ainsi , et ce malgré votre dossier qui nous semblait très intéressant à le vu de les projets que nous avons , il nous est impossible actuellement de vous embaucher . Je m’ excuse encore une fois de le retard de cette réponse , et vous souhaite beaucoup de réussite dans vos recherches d’ alternances . Bonne journée , Polopopo",0
7,2,6,4,2,2,2,3,2,1,1,1,1,1,surprise_pos," Salut Polopopo ! Ravie de vous rencontrer aussi : ) et très contente de me lancer dans cette aventure avec vous ! Pas de problème pour un appel vidéo , si ce ne vous dérange pas je préfère le matin ? Samedi ou dimanche ? Très bonne journée , Polopopo",0
3,2,4,1,1,0,2,1,0,1,1,1,1,1,neutre," Bonjour Polopopo , Comment allez -vous et comment se passe le stage ? Est -il possible de faire un point cette semaine ? Bien cordialement , Polopopo Polopopo Polopopo",0
28,6,2,10,3,0,0,0,2,1,1,1,1,1,neutre," Madame Polopopo Polopopo , Bonjour , Suite à votre demande de dossier social étudiant , vous trouverez en pièce jointe votre notification définitive . En cas d' oubli ou d' erreur constaté sur votre dossier , il est possible d' en demander la révision en vous connectant à votre espace Mes Services Etudiant , rubrique « Suivi de dossier » . Vous avez la possibilité de joindre de les documents et de les justificatifs . Enfin , en cas de difficultés financières , il est possible pour tout étudiant -boursier ou non - de prendre contact avec le service social de votre Polopopo en vous rendant sur le site : https://mesrdv.etudiant.gouv.fr Le service gestionnaire de votre dossier",0
13,2,1,1,0,0,0,2,0,1,1,1,1,0,neutre," Bonjour , Dans le cadre de votre candidature pour un stage de fin d’ étude à le sein de l’ innovation Polopopo , je souhaite vous rencontrer pour un entretien d’ environ 1 heure en visio-conférence . Vous pouvez réserver un créneau , selon vos disponibilités , sur la page suivante : https://outlook.office365.com/owa/calendar/AstekInnovationLab@groupeastek.fr/bookings/s/E9XIyRdefECn7xyjqm8Nnw2 Polopopo , Polopopo Polopopo",0
11,5,2,1,0,0,0,6,0,1,1,1,1,0,neutre," Madame , Monsieur , Je vous prie de bien vouloir trouver ci-joint l’ état de les lieux d’ entrée de le logement situé : 13 rue de Polopopo à Polopopo EN Polopopo Pouvez -vous prendre quelques instants afin de laisser votre satisfaction en cliquant sur Polopopo Polopopo . Vous en souhaitant bonne réception . Polopopo Polopopo",0
0,0,3,1,0,1,0,3,0,0,0,1,1,0,joie," Bonjour , Oui , bien sûr ! Bien cordialement , Polopopo Polopopo",0
6,4,3,3,1,1,0,2,1,1,1,1,1,1,joie," En Polopopo le plus beau schéma jamais réalisé ! ( enfin , par moi ) Les variantes pages 3 et 4 doivent être soumises à discussion mardi , je les soupçonne d’ être fausses . Bon weekend , Polopopo Polopopo",0
22,8,4,2,0,0,1,4,0,1,1,1,1,0,surprise_pos," Bonjour , Faisant suite à les différents échanges que vous avez eus avec les équipes Polopopo , nous avons le plaisir de vous confirmer notre proposition de réaliser votre stage à le sein de notre Groupe . Vous trouverez à cet effet notre courrier officialisant notre proposition . Je vous laisse le soin de revenir vers moi , copie innovation-lab@groupeastek.fr , pour nous informer de vos intentions . En cas d' acceptation , pouvez -vous nous transmettre le mail de votre scolarité ainsi sue le nom de la personne de le service de les stages ? En espérant vous compter parmi nous prochainement . Très cordialement , Polopopo Polopopo Campus",0
12,2,4,0,1,0,0,3,0,1,1,1,0,1,surprise_pos," Bonjour , C' est avec joie que j' accepte votre proposition de stage . Voici respectivement le mail de ma scolarité ainsi que le nom et le mail de la personne en charge de le service de les stages : bassir.hamid@inalco.fr Polopopo Polopopo , conventions.stages@inalco.fr Très cordialement , Polopopo CLAVIER",0
2,1,2,2,1,0,0,2,0,1,1,1,1,1,surprise_pos," Bonjour , Oui , si vous voulez . Je ne suis pas spécialiste de le sujet , mais c' est un domaine intéressant . Cordialement , Polopopo Polopopo",0
14,10,11,1,3,0,0,3,1,1,1,1,1,1,surprise_neg," Bonjour , Je suis le gestionnaire de les stages de l' Polopopo , et je me permets de vous contacter , après avoir constaté un souci quant à les dates prévues pour le stage de l' étudiante Polopopo Polopopo . Il est indiqué que le stage se déroulera jusqu' à le 5 février 2025 , or nous ne pouvons pas établir de convention au-delà de le 31/12/2024 , pour un stage de fin d' études en Polopopo 2 . Je suis désolé de ne pas avoir l' avoir repéré plus tôt , et j' espère que nous pourrons trouver une solution à même de satisfaire toutes les parties . Bien cordialement , Polopopo Polopopo",0
7,3,5,1,0,0,1,3,1,1,1,1,1,0,surprise_neg," Bonjour , D’ accord , donc pas de soutenance en décembre ... Rappelez -oi quelle est la structure d’ accueil ? On pourra vous faire soutenir en mars pour ne pas que vous perdiez de le temps . Bien à vous , Polopopo Polopopo",0
28,18,21,6,5,0,0,7,3,1,1,1,1,1,tristesse," Bonsoir , tout d' abord , merci de votre réponse . Merci également pour les informations , je me renseignerai sûrement cette semaine ou le week end prochain en appelant . J' ai effectivement perdu ma convocation depuis les résultats , je ne sais pas si le numéro de candidat est nécessaire pour la consultation de sa copie . Je fais par ailleurs partie de les élèves qui ont eu la double déception , oral et écrit ( puisque j' ai eu la jury de la d010 a l' oral ) , et certes c' est injuste mais je me dis que les circonstances sont ainsi et j' accepte ma note . Cependant , je discutais avec Polopopo tout à l' heure qui me disait que pour elle ça n' était toujours pas passé , ce que je conçois aussi . Mon année de terminale débute assez bien , même si j' avoue ne pas avoir choisie la filière dans laquelle je me serais le plus sentie à l' aise . Je suis en TS5 . Bonne fin de soirée .",0
29,16,13,6,4,0,0,6,3,1,1,1,1,1,surprise_neg," Bonjour madame , J' espère que vous avez passé de bonnes vacances . J' ai regardé ce matin les différents sites afin de pouvoir consulter ma copie de l' épreuve écrite , mais le seul que j' ai trouvé ( le site de la maison de les examens ) ne propose la photocopie que pour l' académie de Polopopo . J' ai donc été sur le site de l' académie de Polopopo , et je n' ai rien vu à ce sujet . Je me demandais donc si vous aviez eu des informations à ce sujet , parce que ça me semble un peu étrange que les résultats soient aussi diverses en fonction de les personnes si on compare avec leur moyenne de français dans l' année . ( par exemple , Polopopo qui avait de très bonnes notes n' a eu que 12 , et je connais quelqu'un qui n' a jamais eu la moyenne en français et là qui a eu 16 ... ) Merci de votre réponse , bon dimanche .",0
25,18,18,4,7,0,1,8,2,1,1,1,1,1,surprise_neg," Ma chère Polopopo , J' ai conseillé à plusieurs élèves de la classe de réclamer leur copie car les notes ne me paraissent effectivement pas celles que plusieurs d' entre vous pouvaient légitimement espérer . Certains élèves cumulent même déception à l' écrit et à l' oral , et je trouve cela vraiment très rude . Il faut normalement s' adresser à le service de la Polopopo ( Division de les Examens et Concours ) à le rectorat , mais je ne sais pas exactement comment - tu peux essayer d' appeler dans un premier temps . Il me semble que quelque chose à ce sujet est écrit sur votre convocation , mais j' imagine que tu n' as pas forcément gardé la tienne . Tiens-moi à le courant si la demande n' aboutit pas , puis quand tu auras réceptionné ta copie le cas échéant . J' espère que ton année de terminale débute bien : dans quelle classe es -tu ? A bientôt , Polopopo Polopopo",0
9,1,1,1,0,0,1,1,0,1,1,1,1,0,neutre, Bonjour à tous Quelqu’ un peut -il me prêter une place de parking pour demain soir vers 19h à samedi 15 h pour ma soeur ? Bonne journée Polopopo - bâtiment C,0
11,5,8,3,1,2,0,4,2,1,1,1,1,1,joie," Chère Polopopo , Je vous remercie infiniment pour votre message ! Il n' y a pas de hasard : quand on s' investit dans les choses de la vie , on récolte toujours à proportion : ) Je serai très heureuse d' avoir de vos nouvelles dans la suite . Alors n' hésitez pas à m' informer de l' évolution de les vos études et carrière . Excellente continuation !",0
5,4,3,0,1,0,0,0,1,1,1,1,0,1,tristesse," Bonjour , je ne sais pas si vous le savez , mais notre curé est décédé hier . Les funérailles ont lieu lundi à 14 heures .",0
9,6,7,2,1,0,0,6,0,1,1,1,1,1,colère," Bonsoir Polopopo , Il n’ y a pas vraiment de rattrapage pour les cours de M2 . Vous aviez la possibilité de m’ envoyer autant de travaux que vous vouliez et je prenais les meilleurs notes . Je peux encore accepter des travaux même si pour ma part je suis passé à autre chose . Bien à vous Polopopo Polopopo",0
28,14,13,5,4,2,4,5,0,1,1,1,1,1,colère," Bonjour à tous , Allez , on est en début de semaine on va parler un peu propreté , cela fait longtemps qu’ on ne l’ a pas fait 😬…. Dans les poubelles jaunes de le bâtiment C , on trouve des bouteilles de bière et d’ autres déchets en sac qui n’ ont rien à y faire . Peut-être que ceux ou celles qui ont bu les bières sont devenus daltoniens ?!? On parle de l’ entrée maintenant ? Des traces rouges sur le sol jusqu’ à et dans l’ ascenseur . de le sang🩸 ? Aurait -on un vampire dans le bat C ? Il ne nettoie pas chez lui le vampire ? Notre gardien n’ est pas le grouillot de les résidents fussent -ils de les vampires 🧛‍♂️ ! Je ne sais pas si ceux qui sont concernés sont dans cette liste Polopopo mais , si oui , ce serait bien de leur part de rectifier le tir ! Bonne soirée",0
16,8,10,5,2,0,1,3,1,1,1,1,1,1,colère," Mais non !!!?? Pourquoi ? Sortir sa poubelle le jour où le gardien a passé la serpillière , déjà , c’ est pas une bonne idée . Sortir sa poubelle percée le jour où les parties communes ont été nettoyées , c’ est clairement pas une bonne idée . Sortir ses poubelles percées , salir les parties communes qui viennent d’ être nettoyés Polopopo le faire un vendredi , donc avant le week-end ce qui signifie que le gardien ne le verra pas avant lundi . Et surtout tout laisser comme cela , c’ est un gros manque de savoir vivre .",0
15,12,14,5,6,0,0,6,4,1,1,1,1,1,colère," Bonjour , j aime beaucoup les animaux mais certains ( à oreilles pointues ) ont décidé de venir presque tous les jours faire leurs besoins dans mes plantes et notamment l’ un de mes arbres qui n est pas bien en forme ... Je l’ avais récupéré cet été en taillant drastiquement ses branches mais là ça recommence , il décline … Ça me gonfle un peu.. je crois qu un peu d’ excréments renforce la terre mais régulièrement ça la rend acide et ça tue progressivement les plantes … alors je me doute que la solution n est peut-être pas évidente mais s’ il est possible d’ y réfléchir ..",0
11,6,4,1,4,0,1,3,1,1,1,1,1,1,surprise_neg, Bonjour Polopopo les étudiants de Polopopo Polopopo vous écrivent pour obtenir des réponses à propos de les Polopopo Polopopo mais sont très inquiets parce que vous ne leur répondez pas et que les Polopopo Polopopo se terminent dimanche et nous sommes vendredi soir . J' ai essayé de vous appeler mais sans succès . Est -ce que les Polopopo Polopopo pourront être prolongées à le delà de dimanche ? merci par avance cedric,0
12,8,9,2,3,0,0,4,3,1,1,1,1,1,surprise_neg," Bonjour à tous , Nous n' avons pas eu le temps de vous envoyer un message hier , mais nous nous sommes rendus compte que notre artisan avait déposé notre ancien meuble de salle de bains sous le preau . Cela devait partir à le plus tard ce matin , mais c' était déjà parti . Veuillez nous excuser si quelqu' un s' en est chargé à notre place . Nous en sommes désolés , ce n' était pas le but ... Très belle journée à tous . Polopopo et Polopopo",0
4,1,3,1,0,0,0,2,0,1,1,1,1,0,neutre," Bonjour monsieur Polopopo , Veuillez trouver ci-joint le bilan de la réunion de jeudi dernier . Bien cordialement , Polopopo",0
13,3,2,2,0,0,0,4,0,1,1,1,1,0,neutre," Madame , Voici la confirmation de votre rdv de mercredi prochain chez le dentiste . Avant la fin de semaine , veuillez nous renvoyer à cette adresse email les feuilles de soins que vous trouverez ci-joint . Bien à vous , Mm. Polopopo Assistante dentaire",0
3,7,3,2,0,0,0,4,1,1,1,1,1,0,joie," Salut ma poule , J' espère que tu vas bien . J' ai des supers nouvelles !!! Rappelle moi , il faut absolument qu' on se croise que je te raconte tout ça . Plein de bisous . Polopopo",0
9,3,0,3,2,1,0,3,1,1,1,0,1,1,joie," Polopopo Polopopo , Je reviens vers toi suite à notre réunion avec de bonnes nouvelles . Le client était ravi après notre diner et a signé le contract ce matin ! Passe un bon week-end et on se voit lundi pour fêter ça . Polopopo Polopopo",0
9,9,2,2,3,0,0,2,5,1,1,1,1,1,tristesse," Bonjour Polopopo , Je suis désolée de t' annoncer cela par email mais je n' ai plus envie de garder ça pour moi . Je t' ai trompé avec ton grand-père et je te quitte . Tu peux garder l' appartement , je pars vivre avec lui dans ta maison de famille . Je suis navrée que tu l' apprennes de cette manière mais il fallait que tu le saches . Bon courage pour la suite . Polopopo",0
11,4,1,1,1,0,0,3,4,1,1,1,1,1,tristesse," Bonjour Polopopo Polopopo , J' ai le regret de vous annoncer que vous avez perdu le concours de Polopopo Polopopo . Vous trouverez ci-joint votre prix de consolation . Il s' agit d' une boite de mouchoir pour pleurer votre défaite et d' un livre sur l' état de l' art de le Polopopo de 1998 . Sincères salutations . Polopopo de le Polopopo de le Polopopo",0
9,4,5,2,1,1,0,2,5,1,1,1,1,1,colère," Polopopo , Tu es vraiment un beau salaud ! Me quitter Polopopo par mail !!! Tu n' as pas honte !?! Et en plus tu me laisses le chien , alors que tu sais que je suis allergique à ses croquettes !!! à le revoir connard Polopopo ( ton ex qui a brûlé tes chemises sur la pelouse )",0
11,5,3,1,0,0,0,5,0,1,1,1,1,0,colère," Polopopo , Je réitère ma demande de validation de jour de congé . Devant prendre mes billets pour les Polopopo avant la fin de la semaine , j' aurais besoin qu' il soient validé sous peu . Si vous pouviez faire votre travail à le plus vite vous me trouverez de meilleure humeur . Merci d' avance . Cordialement , Polopopo",0
8,2,2,1,1,0,0,5,2,1,1,1,1,1,surprise_pos," Bonjour Madame , Je suis agréablement surprise de votre réponse . à le vu de mon dossier désastreux , je pensais que vous rejetteriez ma demande . Merci pour votre aide et votre patience . Bien à vous , Polopopo Polopopo",0
12,7,2,1,0,1,1,1,2,1,1,1,1,0,surprise_neg," Bonjour Monsieur , Suite à notre conversion je pensais que la situation était en voie de résolution . Il se trouve qu' en rentrant chez moi j' ai découvert le chantier dans le même état qu' en partant ! Avez -vous ne serait -ce que commencer les travaux ? Cordialement , Mm Polopopo Polopopo numéro : 2456789",0
9,6,7,4,1,0,0,2,2,1,1,1,1,1,neutre," Bonjour , Suite à des problèmes liés à les pièces justificatives de mon DSE , je n’ ai à ce jour toujours pas de bourse . Mais j’ ai enfin reçu ma nouvelle notification conditionnelle . Comme je n’ arrive pas à la déposer dans Polopopo , je me permets de vous la transférer directement par mail . En vous souhaitant une bonne journée , Cordialement .",0
4,1,2,3,1,2,0,5,1,1,1,1,1,1,joie," Bonjour , Merci beaucoup pour vos actions ! J’ espère recevoir de bonne nouvelles pour la phase complémentaire ! Merci encore et bonne journée .",0
9,4,6,2,0,1,0,2,1,1,1,1,1,0,tristesse," Bonjour , Malheureusement , je ne pourrais pas assister à le spectacle de fin d' année scolaire en raison d' une entorse ... Cela me chagrine d' autant plus que l' équipe s' est énormément investie dans le projet ... Je vous envoie tout mon soutien ! Merci pour cette année , Cordialement .",0
13,12,11,3,4,0,1,3,5,1,1,1,1,1,colère," Bonjour , Je ne comprends pas ce qui se passe ? J' aimerais en discuter à le téléphone à le plus vite car c' est la deuxième fois que ça arrive . Là je n' ai été prévenue nul part et de part ma surveillance quotidienne , je sais qu' à aucun moment mon compte a été dans le négatif . J' en avais déjà parlé à une conseillère qui m' avait dit qu' elle ferait un geste commercial pour me rembourser , mais je n' ai jamais eu de nouvelles depuis . Je songe à changer de banque car cette situation me stresse énormément . Cordialement .",0
6,3,2,2,0,2,0,6,0,1,1,1,1,0,surprise_pos," Bonjour , Je dois dire que je ne m' attendais pas à cela ! En tout cas félicitations pour cet heureux évènement ! Je vous souhaite le meilleur pour le futur . Bonne continuation , Cordialement .",0
7,6,5,1,1,0,0,1,2,1,1,1,1,1,surprise_neg," Bonjour , Je suis assez décontenancée par la situation ... Personne ne m, ' a prévenue de ce changement de programme dans le planning , je ne peux ainsi pas être présente à les jours et horaires indiqués . Merci de me prévenir lorsque cela arrive à l' avenir . Cordialement .",0
