NOUN,VERB,ADV,ADJ,CCONJ,EX_M,Q_M,POS,NEG,BOOL_NOUN,BOOL_VERB,BOOL_ADV,BOOL_ADJ,BOOL_CCONJ,LABEL,TEXT
12,5,5,2,2,1,0,5,3,1,1,1,1,1,tristesse,"Laezel  J’ai demandé à MonLaezelmalheureusement ils préfèrent qu’on commence le 16 septembre.. je suis vraiment désolée pour la confusion.  Pour le reste : - ma date de naissance : 13/04/2002 - à priori ce serait 7 900€ (page 5 )  - 1 an, du 16/09/24 au 15/09/25 - et je confirme que c’est bien ça !  Je te souhaite une bonne fin de semaine, Bien cordialement,"
9,4,4,2,2,1,3,1,0,1,1,1,1,1,colère,"salut Laezelje n'ai pas eu de réponse à mon sms, je retente par mail... Est-ce que nous nous voyons lundi pour le premier cours ? ou un autre jour ? ou par webcam ? Si tu n'es plus disposée à donner des cours, merci de me dire !"
8,7,4,1,0,0,0,4,2,1,1,1,1,0,surprise_neg,"Bonsoir Juliette,  Comme je n'ai pas reçu de nouvelles depuis plusieurs jours, je me permets d'envoyer un mail. Je commence un peu à m'inquiéter de ne pas avoir de retour de votre part.  J'espère que tout se passe comme prévu.  Je te souhaite une bonne fin de journée, Cordialement,"
9,2,1,1,0,0,0,2,2,1,1,1,1,0,neutre,"Bonjour ,  Je t'accueillerai le lundi 03/06 à partir de 9h30. A ton arrivée, demande à l'hôtesse de me prévenir. je te ferai faire les démarches nécessaire pour avoir ton  badge d'accès. Ton bureau est le 5D02.  Au plaisir de te voir bientôt.  Cdt."
29,12,15,4,0,0,0,2,0,1,1,1,1,0,neutre,"Bonsoir,  La réunion de pré-rentrée aura lieu le 14 septembre en matinée, nous procédons actuellement aux réservations de salle avant d'envoyer les invitations officielles. La rentrée aura lieu le lundi suivant (voir calendrier d'alternance joint).  Pour la connexion à l'ENT, il faut utiliser les codes donnés lors de votre inscription administrative, si vous ne les avez pas reçus il faut contacter la scolarité directement, je n'ai pas la main dessus.  Je suis navrée aussi pour la bibliographie, les informations n'ont pas dû être remontées à temps pour un envoi avant les congés d'été. Les informations seront dans la brochure qui sera délivrée à la réunion de rentrée au plus tard.  Bien cordialement,"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutre,
10,8,4,1,2,1,1,5,1,1,1,1,1,1,joie,"Bonjour Valentine, Je voulais te remercier pour ton aide pour le tutorat. Grace à cette aide et à mon travail, j'ai réussis à passer les rattrapages, et je passe en 3ème année ! Je ne sais pas si j'y serais parvenu sans ça. J'en profite pour te demander : est-ce que tu sais si il y'a un service de tutorat aussi tout au long de l'année ? Cordialement,"
30,25,13,13,6,1,0,20,4,1,1,1,1,1,joie,"Bonjour Valentine,  Je suis très heureux pour vous que votre projet ait été accepté, avec la directrice que vous aviez choisie. C'est une très bonne nouvelle : vous devez être soulagée et impatiente de commencer. La définition du corpus sera une étape importante, mais je suis certain que vous saurez défendre vos idées et profiter des suggestions de ma collègue.  Ne vous en veuillez pas d'avoir envoyé votre projet avant d'avoir reçu ma réponse. J'ai tardé à vous répondre et puisque le résultat est celui que vous espériez, vous avez bien fait. Je vois que vous avez eu la lucidité d'apporter certaines des améliorations que je vous suggérais et que les remarques formelles que j'ai indiquées à la fin vous serviront. Je n'ai pas travaillé pour rien, rassurez-vous. Les corrections que vous avez apportées me semblent aller dans le bon sens. C'est ainsi que vous travaillerez tout au long de votre mémoire, donc c'est de très bon augure.  Ma rencontre avec Laezelau moment où vous m'écriviez relève de ce que Breton apLaezelles ""pétrifiantes coïncidences"" : nous sommes donc bien en plein surréalisme !  Bon courage pour finir le semestre l'esprit léger et bon été quand il arrivera."
21,7,8,6,3,0,0,9,1,1,1,1,1,1,joie,"Chers amis,  J'ai la joie de vous annoncer la parution toute récente de mon roman Darwin. Pour en savoir plus, rendez-vous sur le site de la maison d’édition (lien ci-dessous), où vous pourrez aussi commander l’ouvrage, comme du reste auprès de la ou du libraire de votre choix.  Celles et ceux qui seront à Paris le week-end prochain sont cordialement invités à visiter le Salon de l’autre Livre, à la Halle des Blancs-Manteaux. J’y serai moi-même le dimanche 28 de 11h à 12h30, et j'aurais grand plaisir à vous y retrouver.  En attendant de vos nouvelles, je retourne à mes diverses occupations de retraité.  Bien amicalement,"
8,2,3,3,2,1,0,7,2,1,1,1,1,1,joie,"Bonjour Monsieur, C'est une très bonne nouvelle, merci à vous pour votre confiance ! Je suis évidemment intéressée par la proposition, et suis impatiente de connaître les jours et horaires du contrat.  Je vous souhaite une très bonne soirée,"
16,10,8,5,3,1,0,10,2,1,1,1,1,1,joie,"Chère Valentine,  Merci pour cette explication, qui m'a fait bien rire à mon tour. Je t'entends encore dire : ""c'est lui mais en même temps, ce n'est pas lui."" Tu avais vu juste ! Le pauvre, il a dû se sentir bien observé...  Passer ce temps en votre compagnie a été un réel plaisir, tout comme vous avoir comptés parmi mes élèves. Je serais ravi d'être de cette soirée dont tu parles, en espérant (mais c'est peu probable) qu'elle ait lieu à un moment où je suis dans les parages : à partir de lundi et jusqu'au 2 juillet, je serai à Paris pour faire passer les oraux de l'agrégation.   Bien à toi,"
12,7,7,2,1,0,0,5,0,1,1,1,1,1,surprise_neg,"Bonjour,  Vous trouverez en pièce jointe la version corrigée de ma convention au regard de votre réponse, ainsi que mon attestation de Responsabilité Civile. Je viens de relancer mon employeur, mais je ne suis pas sûre qu'il acceptera de signer avant l'Université... Si c'est le cas, je ne sais pas comment débloquer la situation.  Je vous remercie pour votre aide, Bien cordialement,"
9,5,7,2,0,0,0,2,2,1,1,1,1,0,surprise_neg,"Bonjour M. Gendrot,  Il est étrange en effet, que les images que vous aviez envoyées apparaissent en PJ de mon propre mail, je n'avais pas remarqué cela au moment de l'envoi. Toutefois, chez moi, la fiche en pdf figure tout de même dans les PJ. Dans le doute, je vous la renvoie.  Bien cordialement,"
3,2,7,4,1,0,0,5,2,1,1,1,1,1,surprise_neg,"ptdrrr je me rends compte que j'ai vraiment quasiment pas écrit je suis désolée :(( son cours c'était surtout une énorme biblio et c'est super dur de se repérer dedans, enfin bon.."
15,5,2,5,1,0,0,3,3,1,1,1,1,1,neutre,"Bonjour,  Je tenais à vous informer que mon cabinet va déménager à l’adresse suivante : 17 rue Laezel75017 au RDC avec quelques marches d'accès.  Ce changement d’adresse est définitif et sera effectif à partir du 30/09/2024 .  Veuillez noter le nouveau numéro pour joindre le secrétariat 01 89 86 93 65 à partir du 01/10/2024; un biseau sera assuré avec l'ancien numéro encore quelques semaines.  Pour plus d'informations, veuillez consulter mon profil Doctolib.  Cordialement, Dr NathalieLaezel"
4,2,2,1,1,1,0,3,0,1,1,1,1,1,joie,"Bonjour ! Je vous suis très, très reconnaissante de votre réponse à ma lettre de 11/04/22. Je suis en hâte de vous revoir et j'espère qu'on aura plusieurs idées à proposer. Bien à vous,  Solomiia"
27,8,9,4,2,0,0,8,3,1,1,1,1,1,tristesse,"Bonjour Madame,  Désolé pour le délai de réponse, la rentrée / retour de vacances est une période assez chargée...  Malheureusement, nous ne pourrons pas vous prendre en alternance à cette rentrée. En effet, nous avons atteint le seuil légal d’alternants pour une structure de notre taille (limite dont nous ignorions l’existence à l’origine). Ainsi, et ce malgré votre dossier qui nous semblait très intéressant au vu des projets que nous avons, il nous est impossible actuellement de vous embaucher.  Je m’excuse encore une fois du retard de cette réponse, et vous souhaite beaucoup de réussite dans vos recherches d’alternances.  Bonne journée, Clément"
7,2,6,4,2,2,2,3,2,1,1,1,1,1,surprise_pos,"Salut Solomiia !   Ravie de vous rencontrer aussi :) et très contente de me lancer dans cette aventure avec vous !  Pas de problème pour un appel vidéo, si ce ne vous dérange pas je préfère le matin ? Samedi ou dimanche ?    Très bonne journée,  Tiphaine"
3,2,4,1,1,0,2,1,0,1,1,1,1,1,neutre,"Bonjour Camille, Comment allez-vous et comment se passe le stage ? Est-il possible de faire un point cette semaine ?  Bien cordialement, Laezel"
28,6,2,10,3,0,0,0,2,1,1,1,1,1,neutre,"Laezel  Bonjour,  Suite à votre demande de dossier social étudiant, vous trouverez en pièce jointe votre notification définitive.  En cas d'oubli ou d'erreur constaté sur votre dossier, il est possible d'en demander la révision en vous connectant à votre espace Mes Services Etudiant, rubrique « Suivi de dossier ». Vous avez la possibilité de joindre des documents et des justificatifs.  Enfin, en cas de difficultés financières, il est possible pour tout étudiant -boursier ou non- de prendre contact avec le service social de votre Crous en vous rendant sur le site : https://mesrdv.etudiant.gouv.fr  Le service gestionnaire de votre dossier"
13,2,1,1,0,0,0,2,0,1,1,1,1,0,neutre,"Bonjour,  Dans le cadre de votre candidature pour un stage de fin d’étude au sein de l’innovation Lab, je souhaite vous rencontrer pour un entretien d’environ 1 heure en visio-conférence.  Vous pouvez réserver un créneau, selon vos disponibilités, sur la page suivante : https://outlook.office365.com/owa/calendar/AstekInnovationLab@groupeastek.fr/bookings/s/E9XIyRdefECn7xyjqm8Nnw2   Cordialement, Laezel"
11,5,2,1,0,0,0,6,0,1,1,1,1,0,neutre,Laezel MLaezel   Je vous prie de bien vouloir trouver ci-joint l’état des lieux d’entrée du logement situé :      13 rue de Provins à TOURNAN EN BRIE     Pouvez-vous prendre quelques instants afin de laisser votre satisfaction en cliquant sur Avis Google.   Vous en souhaitant bonne réception.   EmmaLaezel
0,0,3,1,0,1,0,3,0,0,0,1,1,0,joie,"Bonjour,  Oui, bien sûr !  Bien cordialement,  Laezel"
6,4,3,3,1,1,0,2,1,1,1,1,1,1,joie,"En PJ le plus beau schéma jamais réalisé !  (enfin, par moi)  Les variantes pages 3 et 4 doivent être soumises à discussion mardi, je les soupçonne d’être fausses.  Bon weekend, Laezel"
22,8,4,2,0,0,1,4,0,1,1,1,1,0,surprise_pos,"Bonjour,  Faisant suite aux différents échanges que vous avez eus avec les équipes Astek, nous avons le plaisir de vous confirmer notre proposition de réaliser votre stage au sein de notre Groupe. Vous trouverez à cet effet notre courrier officialisant notre proposition.  Je vous laisse le soin de revenir vers moi, copie innovation-lab@groupeastek.fr, pour nous informer de vos intentions.  En cas d'acceptation, pouvez-vous nous transmettre le mail de votre scolarité ainsi sue le nom de la personne du service des stages ?  En espérant vous compter parmi nous prochainement.  Très cordialement, Equipe Innovation Campus"
12,2,4,0,1,0,0,3,0,1,1,1,0,1,surprise_pos,"Bonjour,   C'est avec joie que j'accepte votre proposition de stage. Voici respectivement le mail de ma scolarité ainsi que le nom et le mail de la personne en charge du service des stages :  bassir.hamid@inalco.fr Laezel conventions.stages@inalco.fr  Très cordialement, CamilleLaezel"
2,1,2,2,1,0,0,2,0,1,1,1,1,1,surprise_pos,"Bonjour, Oui, si vous voulez. Je ne suis pas spécialiste du sujet, mais c'est un domaine intéressant. Cordialement, Laezel"
14,10,11,1,3,0,0,3,1,1,1,1,1,1,surprise_neg,"Bonjour,  Je suis le gestionnaire des stages de l'Inalco, et je me permets de vous contacter, après avoir constaté un souci quant aux dates prévues pour le stage de l'étudiante Laezel Il est indiqué que le stage se déroulera jusqu'au 5 février 2025, or nous ne pouvons pas établir de convention au-delà du 31/12/2024, pour un stage de fin d'études en Master 2.  Je suis désolé de ne pas avoir l'avoir repéré plus tôt, et j'espère que nous pourrons trouver une solution à même de satisfaire toutes les parties.  Bien cordialement,   Tony SANCHLaezel"
7,3,5,1,0,0,1,3,1,1,1,1,1,0,surprise_neg,"Bonjour, D’accord, donc pas de soutenance en décembre... Rappelez-oi quelle est la structure d’accueil ? On pourra vous faire soutenir en mars pour ne pas que vous perdiez du temps. Bien à vous, Laezel"
28,18,21,6,5,0,0,7,3,1,1,1,1,1,tristesse,"Bonsoir, tout d'abord, merci de votre réponse. Merci également pour les informations, je me renseignerai sûrement cette semaine ou le week end prochain en appelant. J'ai effectivement perdu ma convocation depuis les résultats, je ne sais pas si le numéro de candidat est nécessaire pour la consultation de sa copie. Je fais par ailleurs partie des élèves qui ont eu la double déception, oral et écrit (puisque j'ai eu la jury de la d010 a l'oral), et certes c'est injuste mais je me dis que les circonstances sont ainsi et j'accepte ma note. Cependant, je discutais avec Laezeltout à l'heure qui me disait que pour elle ça n'était toujours pas passé, ce que je conçois aussi. Mon année de terminale débute assez bien, même si j'avoue ne pas avoir choisie la filière dans laquelle je me serais le plus sentie à l'aise. Je suis en TS5.  Bonne fin de soirée."
29,16,13,6,4,0,0,6,3,1,1,1,1,1,surprise_neg,"Bonjour madame, J'espère que vous avez passé de bonnes vacances. J'ai regardé ce matin les différents sites afin de pouvoir consulter ma copie de l'épreuve écrite, mais le seul que j'ai trouvé (le site de la maison des examens) ne propose la photocopie que pour l'académie de Paris. J'ai donc été sur le site de l'académie de Rouen, et je n'ai rien vu à ce sujet. Je me demandais donc si vous aviez eu des informations à ce sujet, parce que ça me semble un peu étrange que les résultats soient aussi diverses en fonction des personnes si on compare avec leur moyenne de français dans l'année. (par exemple, Laezelqui avait de très bonnes notes n'a eu que 12, et je connais quelqu'un qui n'a jamais eu la moyenne en français et là qui a eu 16...) Merci de votre réponse, bon dimanche."
25,18,18,4,7,0,1,8,2,1,1,1,1,1,surprise_neg,"Ma chère Laezel  J'ai conseillé à plusieurs élèves de la classe de réclamer leur copie car les notes ne me paraissent effectivement pas celles que plusieurs d'entre vous pouvaient légitimement espérer. Certains élèves cumulent même déception à l'écrit et à l'oral, et je trouve cela vraiment très rude.  Il faut normalement s'adresser au service de la DEC (Division des Examens et Concours) au rectorat, mais je ne sais pas exactement comment - tu peux essayer d'appeler dans un premier temps. Il me semble que quelque chose à ce sujet est écrit sur votre convocation, mais j'imagine que tu n'as pas forcément gardé la tienne.  Tiens-moi au courant si la demande n'aboutit pas, puis quand tu auras réceptionné ta copie le cas échéant.  J'espère que ton année de terminale débute bien : dans quelle classe es-tu ?  A bientôt,  MariLaezel"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutre,oui
9,1,1,1,0,0,1,1,0,1,1,1,1,0,neutre,Bonjour à tous  Quelqu’un peut-il me prêter une place de parking pour demain soir vers 19h à samedi 15h pour ma soeur ?   Bonne journée  Eva - bâtiment C
11,5,8,3,1,2,0,4,2,1,1,1,1,1,joie,"Chère Patricia,  Je vous remercie infiniment pour votre message ! Il n'y a pas de hasard : quand on s'investit dans les choses de la vie, on récolte toujours à proportion :) Je serai très heureuse d'avoir de vos nouvelles dans la suite. Alors n'hésitez pas à m'informer de l'évolution des vos études et carrière.  Excellente continuation !"
5,4,3,0,1,0,0,0,1,1,1,1,0,1,tristesse,"Bonjour, je ne sais pas si vous le savez, mais notre curé est décédé hier. Les funérailles ont lieu lundi à 14 heures."
9,6,7,2,1,0,0,6,0,1,1,1,1,1,colère,"Bonsoir Myriam, Il n’y a pas vraiment de rattrapage pour les cours de M2. Vous aviez la possibilité de m’envoyer autant de travaux que vous vouliez et je prenais les meilleurs notes. Je peux encore accepter des travaux même si pour ma part je suis passé à autre chose. Bien à vous Laezel"
28,14,13,5,4,2,4,5,0,1,1,1,1,1,colère,"Bonjour à tous, Allez, on est en début de semaine on va parler un peu propreté, cela fait longtemps qu’on ne l’a pas fait 😬…. Dans les poubelles jaunes du bâtiment C, on trouve des bouteilles de bière et d’autres déchets en sac qui n’ont rien à y faire. Peut-être que ceux ou celles qui ont bu les bières sont devenus daltoniens ?!? On parle de l’entrée maintenant ? Des traces rouges sur le sol jusqu’à et dans l’ascenseur. Du sang🩸? Aurait-on un vampire dans le bat C ? Il ne nettoie pas chez lui le vampire ? Notre gardien n’est pas le grouillot des résidents fussent-ils des vampires 🧛‍♂️ ! Je ne sais pas si ceux qui sont concernés sont dans cette liste WhatsApp mais, si oui, ce serait bien de leur part de rectifier le tir ! Bonne soirée"
16,8,10,5,2,0,1,3,1,1,1,1,1,1,colère,"Mais non !!!?? Pourquoi ? Sortir sa poubelle le jour où le gardien a passé la serpillière, déjà, c’est pas une bonne idée.  Sortir sa poubelle percée le jour où les parties communes ont été nettoyées, c’est clairement pas une bonne idée.  Sortir ses poubelles percées, salir les parties communes qui viennent d’être nettoyés ET le faire un vendredi, donc avant le week-end ce qui signifie que le gardien ne le verra pas avant lundi.   Et surtout tout laisser comme cela, c’est un gros manque de savoir vivre."
15,12,14,5,6,0,0,6,4,1,1,1,1,1,colère,"Bonjour, j aime beaucoup les animaux mais certains (à oreilles pointues) ont décidé de venir presque tous les jours faire leurs besoins dans mes plantes et notamment l’un de mes arbres qui n est pas bien en forme... Je l’avais récupéré cet été en taillant drastiquement ses branches mais là ça recommence, il décline… Ça me gonfle un peu.. je crois qu un peu d’excréments renforce la terre mais régulièrement ça la rend acide et ça tue progressivement les plantes… alors je me doute que la solution n est peut-être pas évidente mais s’il est possible d’y réfléchir.."
11,6,4,1,4,0,1,3,1,1,1,1,1,1,surprise_neg,Bonjour Marie-Claudette  les étudiants de M1 TAL vous écrivent pour obtenir des réponses à propos des IP WEbs mais sont très inquiets parce que vous ne leur répondez pas et que les IP Webs se terminent dimanche et nous sommes vendredi soir.  J'ai essayé de vous appeler mais sans succès. Est-ce que les IP Webs pourront être prolongées au delà de dimanche ?  merci par avance  cedric
12,8,9,2,3,0,0,4,3,1,1,1,1,1,surprise_neg,"Bonjour à tous, Nous n'avons pas eu le temps de vous envoyer un message hier, mais nous nous sommes rendus compte que notre artisan avait déposé notre ancien meuble de salle de bains sous le preau. Cela devait partir au plus tard ce matin, mais c'était déjà parti. Veuillez nous excuser si quelqu'un s'en est chargé à notre place. Nous en sommes désolés, ce n'était pas le but... Très belle journée à tous. Aude et Matthieu"
4,1,3,1,0,0,0,2,0,1,1,1,1,0,neutre,"Bonjour monsieur Gilbert,  Veuillez trouver ci-joint le bilan de la réunion de jeudi dernier.  Bien cordialement,  Laezel"
13,3,2,2,0,0,0,4,0,1,1,1,1,0,neutre,"Laezel  Voici la confirmation de votre rdv de mercredi prochain chez le dentiste.  Avant la fin de semaine, veuillez nous renvoyer à cette adresse email les feuilles de soins que vous trouverez ci-joint.  Bien à vous,  MLaezelssistante dentaire"
3,7,3,2,0,0,0,4,1,1,1,1,1,0,joie,"Salut ma poule,  J'espère que tu vas bien.  J'ai des supers nouvelles !!!  Rappelle moi, il faut absolument qu'on se croise que je te raconte tout ça.  Plein de bisous.  Laezel"
9,3,0,3,2,1,0,3,1,1,1,0,1,1,joie,"Salut Michel,  Je reviens vers toi suite à notre réunion avec de bonnes nouvelles.  Le client était ravi après notre diner et a signé le contract ce matin !  Passe un bon week-end et on se voit lundi pour fêter ça. Laezel"
9,9,2,2,3,0,0,2,5,1,1,1,1,1,tristesse,"Bonjour Jean-Pierre,  Je suis désolée de t'annoncer cela par email mais je n'ai plus envie de garder ça pour moi.  Je t'ai trompé avec ton grand-père et je te quitte.  Tu peux garder l'appartement, je pars vivre avec lui dans ta maison de famille.  Je suis navrée que tu l'apprennes de cette manière mais il fallait que tu le saches.  Bon courage pour la suite.  Josiane"
11,4,1,1,1,0,0,3,4,1,1,1,1,1,tristesse,Laezel  J'ai le regret de vous annoncer que vous avez perdu le concours de Miss Poitou.  VousLaezeli-joint votre prix de consolation.   Il s'agit d'une boite de mouchoir pour pleurer votre défaite et d'un livre sur l'état de l'art du TAL de 1998.  Sincères salutations.  Jean-Paul du Pont du GarLaezel
9,4,5,2,1,1,0,2,5,1,1,1,1,1,colère,"Michel,  Tu es vraiment un beau salaud!  Me quitter MOI par mail !!! Tu n'as pas honte !?! Et en plus tu me laisses le chien, alors que tu sais que je suis allergique à ses croquettes !!! Au revoir connard Laezel(ton ex qui a brûlé tes chemises sur la pelouse)"
11,5,3,1,0,0,0,5,0,1,1,1,1,0,colère,"Jean-Paul,  Je réitère ma demande de validation de jour de congé. Devant prendre mes billets pour les Maldives avant la fin de la semaine, j'aurais besoin qu'il soient validé sous peu. Si vous pouviez faire votre travail au plus vite vous me trouverez de meilleure humeur.  Merci d'avance. Cordialement, Laezel"
8,2,2,1,1,0,0,5,2,1,1,1,1,1,surprise_pos,"Bonjour Madame,  Je suis agréablement surprise de votre réponse.  Au vu de mon dossier désastreux,  je pensais que vous rejetteriez ma demande.  Merci pour votre aide et votre patience.  Bien à vous,  Laezel"
12,7,2,1,0,1,1,1,2,1,1,1,1,0,surprise_neg,"Bonjour Monsieur,  Suite à notre conversion je pensais que la situation était en voie de résolution.   Il se trouve qu'en rentrant chez moi j'ai découvert le chantier dans le même état qu'en partant! Avez-vous ne serait-ce que commencer les travaux ? Cordialement,  Mm Tortue Cliente numéro : 2456789"
9,6,7,4,1,0,0,2,2,1,1,1,1,1,neutre,"Bonjour,  Suite à des problèmes liés aux pièces justificatives de mon DSE, je n’ai à ce jour toujours pas de bourse. Mais j’ai enfin reçu ma nouvelle notification conditionnelle. Comme je n’arrive pas à la déposer dans PJWEB, je me permets de vous la transférer directement par mail.   En vous souhaitant une bonne journée,  Cordialement."
4,1,2,3,1,2,0,5,1,1,1,1,1,1,joie,"Bonjour,   Merci beaucoup pour vos actions ! J’espère recevoir de bonne nouvelles pour la phase complémentaire !   Merci encore et bonne journée."
9,4,6,2,0,1,0,2,1,1,1,1,1,0,tristesse,"Bonjour,   Malheureusement, je ne pourrais pas assister au spectacle de fin d'année scolaire en raison d'une entorse... Cela me chagrine d'autant plus que l'équipe s'est énormément investie dans le projet...  Je vous envoie tout mon soutien!  Merci pour cette année,   Cordialement."
13,12,11,3,4,0,1,3,5,1,1,1,1,1,colère,"Bonjour,  Je ne comprends pas ce qui se passe? J'aimerais en discuter au téléphone au plus vite car c'est la deuxième fois que ça arrive. Là je n'ai été prévenue nul part et de part ma surveillance quotidienne, je sais qu'à aucun moment mon compte a été dans le négatif.  J'en avais déjà parlé à une conseillère qui m'avait dit qu'elle ferait un geste commercial pour me rembourser, mais je n'ai jamais eu de nouvelles depuis. Je songe à changer de banque car cette situation me stresse énormément.  Cordialement."
6,3,2,2,0,2,0,6,0,1,1,1,1,0,surprise_pos,"Bonjour,   Je dois dire que je ne m'attendais pas à cela! En tout cas félicitations pour cet heureux évènement! Je vous souhaite le meilleur pour le futur.  Bonne continuation,  Cordialement."
7,6,5,1,1,0,0,1,2,1,1,1,1,1,surprise_neg,"Bonjour,  Je suis assez décontenancée par la situation... Personne ne m,'a prévenue de ce changement de programme dans le planning, je ne peux ainsi pas être présente aux jours et horaires indiqués.  Merci de me prévenir lorsque cela arrive à l'avenir.  Cordialement."
17,5,3,1,3,0,1,0,1,1,1,1,1,1,neutre,"Salut Madalina (et Georgeta en copie),  On était en train de discuter avec Laezelde la possibilité de faire une réunion par rapport au travil que tu as effectué durant l'été. Ca serait l'occasion pour moi de voir plus en détail ce qui a été fait et on pourrait rediscuter avec GeoLaezel problèmes que nous avons évoqués hier à LLcD. Serais-tu disponible mardi le 17 pour une réunion à Modyco ? La réunion pourrait avoir lieu à 11h, à midi ou à 13h.  A bientôt, AleksaLaezel"
